SR_Created_Date,Sr_Num,Enq_Type,Enq_Sub_Type,Postcode
10 July 2017,2-884343192,LASBT ALMO,Noise Nuisance,LS9 7
10 July 2017,2-884328443,Tenancy Breach,Noise Nuisance,LS13 2
21 July 2017,2-885890802,Tenancy Breach,Noise Nuisance,LS13 1
21 July 2017,2-885843788,LASBT Private,Noise Nuisance,LS6 1
21 July 2017,2-885846135,Tenancy Breach,Noise Nuisance,LS11 0
20 July 2017,2-885822361,LASBT ALMO,Noise Nuisance,LS12 1
10 July 2017,2-884377344,LASBT Private,Noise Nuisance,LS17 5
20 July 2017,2-885781653,Tenancy Breach,Noise Nuisance,LS9 7
20 July 2017,2-885782089,Tenancy Breach,Noise Nuisance,LS14 1
20 July 2017,2-885736490,LASBT Private,Noise Nuisance,LS20 9
11 July 2017,2-884483880,LASBT ALMO,Noise Nuisance,LS27 0
20 July 2017,2-885728646,Tenancy Breach,Noise Nuisance,LS16 6
11 July 2017,2-884510860,Tenancy Breach,Noise Nuisance,LS12 5
20 July 2017,2-885724346,Tenancy Breach,Noise Nuisance,LS9 7
20 July 2017,2-885689749,Tenancy Breach,Noise Nuisance,LS28 9
20 July 2017,2-885680699,Tenancy Breach,Noise Nuisance,LS15 0
11 July 2017,2-884563917,Tenancy Breach,Noise Nuisance,LS12 3
11 July 2017,2-884595562,LASBT ALMO,Noise Nuisance,LS28 7
19 July 2017,2-885599268,Tenancy Breach,Noise Nuisance,LS9 7
19 July 2017,2-885500588,Tenancy Breach,Noise Nuisance,LS8 3
12 July 2017,2-884639611,Tenancy Breach,Noise Nuisance,LS22 6
19 July 2017,2-885533710,LASBT ALMO,Noise Nuisance,LS18 4
19 July 2017,2-885541140,Tenancy Breach,Noise Nuisance,LS14 1
19 July 2017,2-885536555,LASBT Private,Noise Nuisance,LS18 4
19 July 2017,2-885533527,LASBT ALMO,Noise Nuisance,LS5 3
19 July 2017,2-885520942,Tenancy Breach,Noise Nuisance,WF3 1
12 July 2017,2-884749227,Tenancy Breach,Noise Nuisance,LS14 6
19 July 2017,2-885534115,Tenancy Breach,Noise Nuisance,LS17 6
13 July 2017,2-884800433,Tenancy Breach,Noise Nuisance,LS10 2
13 July 2017,2-884818392,Tenancy Breach,Noise Nuisance,LS14 6
19 July 2017,2-885510463,LASBT ALMO,Noise Nuisance,LS13 2
19 July 2017,2-885510109,LASBT Private,Noise Nuisance,LS6 3
18 July 2017,2-885496559,Tenancy Breach,Noise Nuisance,LS12 3
