Venue Name,Venue Address 1,Venue Address 2,Venue Address 3,Venue Address 4,Venue Postcode,Website
Black Swan,37 Call Lane,Leeds,,,LS1 7BT,http://www.blackswanleeds.co.uk/
Ho's,115 Vicar Lane,Leeds,,,LS1 6PJ,http://www.tripadvisor.co.uk/Restaurant_Review-g186411-d1877193-Reviews-Ho_s-Leeds_West_Yorkshire_England.html
Maxi's Leeds,6 Bingley Street,Leeds,,,LS3 1LX,http://www.maxi-s.co.uk/
Red Chilli Restaurant,6 Great George Street,Leeds,,,LS1 3DW,http://redchillirestaurant.co.uk/leeds/
Pintura,Pintura Basque Kitchen & Bar,Unit 2.36,1 Trinity Street,Leeds,LS1 5ER,http://www.pinturakitchen.co.uk/
Roland's,39 Call Lane,Leeds,,,LS1 7BT,https://twitter.com/RolandsLeeds
The Riverside,1 Whitehall Riverside,Leeds,,,LS1 4BN,http://www.theriversideleeds.co.uk/
Marvin's Pizza Parlour,Arena Quarter,Merrion Way,Leeds,West Yorkshire,LS2 8BT,
The Salty Cow,Commerical Street,Leeds,,,LS1 6EY,https://twitter.com/ThesaltyCow
The Black Prince,40 Boar Lane,Leeds,,,LS1 5DA,
The Brotherhood of Pursuits and Pastimes,56-58 New Briggate,Leeds,,,LS1 6NU,http://www.thisisthebrotherhood.com/
Bundobust,6 Mill Hill,Leeds,,,LS1 5DQ,http://bundobust.com/
Shears Yard,11-15 Wharf Street,The Calls,Leeds,,LS2 7EH,http://www.shearsyard.com
Blind Tyger,5 1/2 Cross Belgrave Street,Leeds,,,LS2 8JP,http://www.blindtyger.co.uk
Just Grand! Vintage Tearoom,8-9 Grand Arcade,Vicar Lane,Leeds,,LS1 6PG,http://www.just-grand.co.uk
The Atlas Pub,Atlas House,31 King Street,Leeds,,LS1 2HL,http://www.atlaspubleeds.com
The Man Behind The Curtain,68-78 Vicar Lane,Leeds,,,LS1 7JH,http://www.themanbehindthecurtain.co.uk/
Crowd of Favours,Harper Street,Leeds,,,LS2 7EA,http://www.crowdoffavours.co.uk/
Roots and Fruits,10-11 Grand Arcade,Leeds,,,LS1 6PG,http://www.rootsandfruits.net
The Grove Inn,Back Row,Leeds,,,LS11 5PL,
The Decanter,17 Park Row,Leeds,,,LS1 5JQ,http://www.thedecanter.co.uk
The Original Oak,2 Otley Road,Headingley,Leeds,,LS6 2DG,http://www.theoriginaloakleeds.co.uk
The Mustard Pot,20 Stainbeck Lane,Chapel Allerton,Leeds,,LS7 3QY,http://www.themustardpot.com
Tortilla,Trinity Kitchen,Trinity Leeds,,,LS1 5AT,http://trinityleeds.com/shops/tortilla
Le Chalet,31-32 Park Row,Leeds,,,LS1 5JD,http://www.le-chalet.co.uk
Aire Bar,32 The Calls,,Leeds,,LS2 7EW,http://www.airebar.co.uk/
All Bar One Greek Street,27 East Parade,Leeds,,,LS1 5BN,http://www.allbarone.co.uk/all-bar-one-greek-street-leeds/
Baa Bar Millennium Square,43-51 Cookridge Street,Leeds,,,LS2 3AW,http://www.baabar.co.uk
Wasabi,Trinity Leeds,Leeds,,,LS1 5AT,http://www.wasabi.uk.com
Belgrave Music Hall and Canteen,1-1A Cross Belgrave Street,Leeds,,,LS2 8JP,http://www.belgravemusichall.com
360 Champagne & Cocktails,Trinity Kitchen,Trinity Leeds,,,LS1 5AT,http://trinityleeds.com/shops/360-champagne-cocktails
Chicago Rib Shack,Trinity Kitchen,Trinity Leeds,,,LS1 5AT,http://trinityleeds.com/shops/chicago-rib-shack
Chip + Fish,Trinity Kitchen,Trinity Leeds,,,LS1 5AT,http://trinityleeds.com/shops/chip-fish
Pho,Trinity Kitchen,Trinity Leeds,,,LS1 5AT,http://www.phocafe.co.uk/locations/leeds/
PizzaLuxe,Trinity Kitchen,Trinity Leeds,,,LS1 5AT,http://trinityleeds.com/shops/pizzaluxe
Kobe,106-108 New Road Side,Horsforth,Leeds,,LS18 4QB,http://www.arcinspirations.com
The Pit,9 Merrion Street,Leeds,,,LS1 6PQ,http://www.arcinspirations.com
Roast + Conch,55 Boar Lane,Leeds,,,LS1 5EL,http://www.hotelchocolat.com/uk/restaurants/locations/roast-and-conch
Barburrito,61 Boar Lane,Leeds,,,LS1 6HW ,http://www.barburrito.co.uk/
All Bar One Millennium,Electric Press,Millennium Square,Leeds,,LS2 3AD,http://www.allbarone.co.uk/all-bar-one-millennium-square-leeds
Korks Wine Bar & Brasserie,40 Bondgate,Otley,,,LS21 1AD,http://www.korks.co.uk
Yo! Sushi,419 Trinity Leeds,Albion Street,Leeds,,LS1 5AY,http://www.yosushi.com/
